date_added,Action & Adventure,Anime Features,Children & Family Movies,Classic Movies,Comedies,Cult Movies,Documentaries,Dramas,Faith & Spirituality,Horror Movies,Independent Movies,International Movies,LGBTQ Movies,Movies,Music & Musicals,Romantic Movies,Sci-Fi & Fantasy,Sports Movies,Stand-Up Comedy,Thrillers
2008-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2009-05-05,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1
2009-11-18,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1
2010-11-01,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,1
2011-05-17,0,0,0,0,0,1,0,3,0,2,1,2,0,0,0,0,0,0,0,1
2011-09-27,0,0,1,0,0,1,0,4,1,2,1,2,0,0,0,0,0,0,0,1
2011-10-01,0,0,1,0,0,1,0,15,1,2,1,2,0,0,0,0,0,2,0,2
2012-02-21,0,0,1,0,0,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
2012-11-14,0,0,1,0,1,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
2012-12-01,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
2013-09-01,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,1,2
2013-10-14,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,2,2
2013-11-01,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,4,2
2013-12-12,0,0,3,0,2,1,2,15,1,2,1,2,0,0,0,0,0,3,4,2
2013-12-29,0,0,4,0,3,1,2,15,1,2,1,2,0,0,1,0,0,3,4,2
2014-01-17,0,0,4,0,3,1,3,15,1,2,1,3,0,0,1,0,0,3,4,2
2014-01-24,0,0,4,0,3,1,4,15,1,2,1,3,0,0,1,0,0,3,4,2
2014-02-16,1,0,4,0,3,1,4,15,1,2,1,3,0,0,1,0,1,3,4,2
2014-04-15,1,0,4,0,3,1,5,15,1,2,1,3,0,0,1,0,1,3,4,2
2014-06-15,1,0,5,0,3,1,5,15,1,2,1,3,0,0,1,0,1,3,4,2
2014-07-11,1,0,5,0,3,1,6,15,1,2,1,3,0,0,1,0,1,4,4,2
2014-08-15,1,0,5,0,3,1,7,15,1,2,1,3,0,0,1,0,1,4,4,2
2014-09-26,1,0,5,0,3,1,8,15,1,2,1,3,0,0,1,0,1,4,4,2
2014-10-10,1,0,5,0,3,1,8,15,1,2,1,3,0,0,1,0,1,4,5,2
2014-10-12,1,0,6,0,3,1,8,15,1,2,1,3,0,0,1,0,2,4,5,2
2014-10-21,1,0,6,0,3,1,8,15,1,2,1,3,0,0,1,0,2,4,6,2
2014-10-24,1,0,6,0,3,1,9,15,1,2,1,3,0,0,1,0,2,4,6,2
2014-11-07,1,0,6,0,3,1,10,15,1,2,1,4,0,0,1,0,2,4,6,2
2014-11-14,1,0,6,0,3,1,10,15,1,2,1,4,0,0,1,0,2,4,7,2
2014-12-05,1,0,6,0,3,1,10,15,1,2,1,4,0,0,1,0,2,4,8,2
2014-12-12,1,0,7,0,4,1,10,15,1,2,1,4,0,0,1,0,2,4,8,2
2014-12-17,1,0,8,0,5,1,10,15,1,2,1,4,0,0,1,0,2,4,8,2
2014-12-18,1,0,8,0,5,1,10,15,1,2,1,4,0,1,1,0,2,4,8,2
2014-12-19,1,0,8,0,5,1,10,15,1,2,1,4,0,2,1,0,2,4,8,2
2015-01-23,1,0,8,0,5,1,10,15,1,2,1,4,0,2,1,0,2,4,9,2
2015-02-13,1,0,8,0,5,1,11,15,1,2,1,4,0,2,1,0,2,4,9,2
2015-02-15,1,0,8,0,5,1,12,15,1,2,1,5,0,2,1,0,2,5,9,2
2015-02-27,1,0,8,0,5,1,12,15,1,2,1,5,0,2,1,0,2,5,10,2
2015-03-06,1,0,8,0,5,1,13,15,1,2,1,5,0,2,1,0,2,5,11,2
2015-03-15,1,0,8,0,5,1,14,15,1,2,1,5,0,2,1,0,2,6,11,2
2015-04-17,1,0,8,0,5,1,14,15,1,2,1,5,0,2,1,0,2,6,12,2
2015-05-10,1,0,9,0,6,1,14,15,1,2,1,5,0,2,1,0,2,7,12,2
2015-05-17,1,0,10,0,6,1,14,15,1,2,1,5,0,2,1,0,2,7,12,2
2015-05-22,1,0,10,0,6,1,15,15,1,2,1,5,0,2,2,0,2,7,13,2
2015-05-29,1,0,10,0,6,1,16,15,1,2,1,5,0,2,2,0,2,7,13,2
2015-06-01,1,0,10,0,7,1,16,16,1,2,1,6,0,2,2,0,2,7,13,2
2015-06-23,1,0,10,0,7,1,16,17,1,2,2,6,0,2,2,0,3,7,13,2
2015-06-26,1,0,10,0,7,1,17,17,1,2,2,6,0,2,3,0,3,7,13,2
2015-06-29,1,0,10,0,7,1,17,17,1,2,2,6,0,2,3,0,3,7,14,2
2015-07-07,1,0,11,0,7,1,17,17,1,2,2,6,0,2,3,0,3,7,14,2
2015-07-10,1,0,11,0,7,1,17,17,1,2,2,6,0,2,3,0,3,7,15,2
2015-07-14,1,0,11,0,7,1,17,17,1,3,3,6,0,2,3,0,3,7,15,3
2015-07-15,2,0,11,0,7,1,17,18,1,3,3,7,0,2,3,0,3,7,15,3
2015-07-17,2,0,11,0,7,1,18,18,1,3,3,7,0,2,3,0,3,7,16,3
2015-08-05,2,0,12,0,8,1,18,18,1,3,3,7,0,2,3,0,3,7,16,3
2015-08-14,2,0,12,0,8,1,18,18,1,3,3,7,0,2,3,0,3,7,17,3
2015-09-02,2,0,12,0,8,1,18,19,1,3,3,8,0,2,3,0,3,7,17,3
2015-09-08,2,0,12,0,8,1,18,20,1,3,4,8,0,2,3,1,3,7,17,3
2015-09-15,2,0,12,0,8,1,19,20,1,3,4,8,0,2,3,1,3,7,17,3
2015-09-18,2,0,12,0,8,1,20,20,1,3,4,8,0,2,4,1,3,7,17,3
2015-09-22,2,0,12,0,9,1,20,20,1,3,4,8,0,2,4,1,3,7,17,3
2015-09-29,2,0,13,0,9,1,20,20,1,3,4,8,0,2,5,1,3,7,17,3
2015-10-02,2,0,13,0,9,1,20,20,1,3,4,8,0,2,5,1,3,7,18,3
2015-10-09,2,0,13,0,9,1,21,20,1,3,4,9,0,2,5,1,3,7,18,3
2015-10-14,2,0,13,0,9,1,21,21,1,3,4,10,0,2,5,1,3,7,18,4
2015-10-16,2,0,13,0,9,1,21,23,1,3,6,10,0,2,5,1,4,7,19,4
2015-10-22,2,0,13,0,10,1,21,23,1,3,7,10,0,2,5,1,4,7,19,4
2015-10-25,2,0,14,0,10,1,21,23,1,3,7,10,0,2,5,1,4,7,19,4
2015-10-27,2,0,14,0,11,1,21,24,1,3,8,10,0,2,5,1,4,7,19,4
2015-10-31,2,0,14,0,11,1,21,24,1,4,8,10,0,2,5,1,4,7,19,4
2015-11-13,2,0,14,0,11,1,21,24,1,4,8,10,0,2,5,1,4,7,20,4
2015-11-18,2,0,14,0,12,1,21,25,1,4,8,10,1,2,5,1,4,7,20,4
2015-12-01,2,0,15,0,13,1,22,25,1,4,8,11,1,2,5,1,4,7,20,4
2015-12-04,2,0,15,0,14,1,22,25,1,4,8,11,1,2,6,1,4,7,20,4
2015-12-09,2,0,15,0,15,1,22,25,1,4,8,12,1,2,6,1,4,7,20,4
2015-12-11,3,0,15,0,16,1,22,25,1,4,8,12,1,2,6,1,4,7,20,4
2015-12-15,3,0,15,0,16,1,23,26,1,4,8,13,1,2,7,1,4,7,20,4
2015-12-17,3,0,16,0,16,1,23,26,1,4,8,13,1,2,7,1,4,7,20,4
2015-12-18,3,0,16,0,16,1,23,26,1,4,8,13,1,2,7,1,4,7,21,4
2015-12-20,3,0,19,0,17,1,23,26,1,4,8,13,1,2,7,1,4,7,21,4
2015-12-26,3,0,19,0,17,1,23,26,1,4,8,13,1,3,7,1,4,7,21,4
2015-12-28,3,0,19,0,17,1,23,27,1,4,8,14,1,3,7,1,4,7,21,4
2016-01-01,3,0,23,0,17,1,24,27,1,4,8,15,1,7,7,1,5,7,21,4
2016-01-08,3,0,23,0,17,1,24,27,1,4,8,15,1,7,7,1,5,7,22,4
2016-01-15,5,0,23,0,17,1,24,28,1,4,8,17,1,7,7,1,5,7,22,4
2016-01-22,5,0,23,0,17,1,24,28,1,4,8,17,1,7,7,1,5,7,23,4
