,date_added,Action-Adventure,Animals & Nature,Animation,Anthology,Biographical,Buddy,Comedy,Coming of Age,Concert Film,Crime,Dance,Disaster,Documentary,Drama,Family,Fantasy,Historical,Kids,Lifestyle,Medical,Movies,Music,Musical,Mystery,Parody,Reality,Romance,Romantic Comedy,Science Fiction,Sports,Spy/Espionage,Superhero,Survival,Thriller,Variety,Western
0,2019-10,3,2,4,0,1,0,5,1,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,2019-11,195,65,255,6,14,21,274,111,3,7,4,1,64,67,339,95,14,31,2,1,0,17,22,6,3,3,9,1,49,26,0,11,1,3,1,4
2,2019-12,202,68,262,6,16,21,280,113,3,7,4,1,69,69,348,97,15,31,2,1,0,17,22,6,3,3,9,1,50,27,0,12,1,3,1,4
3,2020-01,206,69,277,6,17,21,291,115,3,7,4,1,76,71,366,98,18,31,2,1,0,17,22,6,3,3,10,1,50,28,0,13,1,3,1,4
4,2020-02,213,69,282,6,17,22,298,118,3,7,4,1,77,73,369,100,19,31,2,1,0,17,24,6,3,3,11,1,51,28,0,13,1,3,1,4
5,2020-03,218,69,283,6,17,22,301,120,3,7,4,2,77,75,374,101,19,31,2,1,0,17,25,6,3,3,11,1,52,29,0,14,1,3,1,4
6,2020-04,223,80,304,6,19,22,306,122,4,7,4,2,86,81,400,102,20,31,2,1,0,19,26,7,4,3,11,1,52,30,0,14,1,4,1,4
7,2020-05,231,86,309,6,20,22,311,122,4,9,4,2,91,82,414,106,20,31,2,1,0,20,27,8,4,3,12,1,53,31,0,14,1,4,1,4
8,2020-06,240,88,315,6,20,22,313,125,4,10,4,2,100,83,423,109,24,31,2,1,0,20,27,8,4,3,12,1,54,31,0,14,1,4,1,4
9,2020-07,247,90,317,6,21,22,319,126,4,11,5,2,106,86,434,110,29,31,2,1,0,21,31,8,4,4,13,1,58,33,0,14,1,4,1,4
10,2020-08,251,92,319,6,23,22,323,127,4,11,5,2,112,88,441,115,30,31,2,1,0,22,33,8,4,4,13,1,59,33,0,14,1,4,1,4
11,2020-09,252,94,320,6,24,23,326,130,4,11,5,2,116,93,447,117,30,31,2,1,0,22,33,8,4,4,14,1,59,34,0,14,1,4,1,4
12,2020-10,257,96,323,6,25,23,330,131,4,11,5,2,120,95,452,119,32,31,2,1,0,24,33,8,4,4,14,1,61,34,0,14,2,4,2,4
13,2020-11,261,97,330,6,25,23,338,133,4,12,5,2,124,96,459,122,35,31,2,1,0,25,33,8,4,4,14,1,61,34,0,14,2,4,2,4
14,2020-12,267,98,337,6,27,23,344,134,4,12,5,2,127,100,469,128,36,31,2,1,1,27,34,8,4,4,15,1,61,35,0,14,2,4,4,4
15,2021-01,270,103,341,6,27,23,348,134,4,12,5,2,133,100,471,129,36,31,2,1,1,27,35,8,4,4,15,1,61,35,0,14,2,4,4,4
16,2021-02,271,105,343,7,28,23,354,136,4,12,5,2,137,101,475,132,36,31,2,1,1,28,35,8,4,4,15,1,61,35,0,14,2,4,5,4
17,2021-03,272,105,345,7,29,23,355,137,4,12,5,2,139,101,477,133,36,33,2,2,1,29,35,8,4,4,15,1,61,35,0,14,2,4,5,4
18,2021-04,284,109,348,7,34,23,363,141,4,14,5,2,144,104,482,136,36,34,2,2,1,30,36,8,4,4,16,1,63,35,0,14,3,4,5,5
19,2021-05,287,109,350,7,35,23,364,143,4,14,5,2,144,109,484,139,36,34,2,2,1,30,36,8,5,4,16,1,66,35,0,14,3,4,5,5
20,2021-06,293,109,355,7,37,24,367,146,4,14,6,2,145,110,490,139,37,34,2,2,1,30,36,8,5,4,16,1,67,35,1,14,3,4,5,5
21,2021-07,294,126,358,7,38,24,372,148,4,14,6,2,162,112,495,142,37,34,2,2,1,30,36,8,5,4,16,1,67,36,1,14,3,4,5,5
22,2021-08,299,127,358,7,38,24,378,150,4,15,6,2,163,116,502,144,37,34,2,2,1,31,36,8,6,4,17,1,69,36,1,14,3,5,6,5
23,2021-09,302,129,361,7,38,24,382,151,6,15,6,2,167,117,505,147,37,35,2,2,1,33,37,8,6,4,19,2,71,36,1,14,3,5,6,5
24,2021-10,306,129,366,7,40,24,388,151,6,15,6,2,171,118,514,150,38,36,2,2,1,34,38,8,7,4,19,2,73,38,2,14,3,5,7,5
25,2021-11,314,130,381,7,41,24,407,153,7,16,6,2,174,121,533,158,38,39,3,2,3,38,40,8,7,4,19,2,76,38,2,16,3,5,7,5
