,date_added,Action,Adult Animation,Adventure,Anime,Black Stories,Cartoons,Classics,Comedy,Cooking & Food,Crime,Documentaries,Drama,Family,Health & Wellness,History,Horror,International,Kids,LGBTQ+,Latino,Lifestyle & Culture,Music,Mystery,News,Reality,Romance,Science & Technology,Science Fiction,Sitcom,Sports,Stand Up,Teen,Thriller
0,2012-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2013-08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,2013-12,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,2014-01,1,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,2014-02,1,1,1,1,0,0,0,2,0,0,1,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5,2014-04,1,1,1,1,0,0,0,6,0,0,1,2,7,0,0,0,4,5,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
6,2014-07,1,1,1,1,0,0,0,7,0,0,1,2,7,0,0,0,4,5,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0
7,2014-12,2,1,2,1,0,0,0,8,0,0,1,2,7,0,0,0,4,5,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0
8,2015-01,2,1,2,1,0,0,0,10,0,0,1,2,7,0,0,0,4,5,0,0,0,2,0,0,0,0,0,1,2,0,1,2,0
9,2015-02,2,1,2,1,0,0,0,10,0,0,1,4,7,0,0,1,4,5,0,0,0,2,1,0,0,0,0,1,2,0,1,2,2
10,2015-05,3,1,3,1,0,0,0,10,0,0,1,4,8,0,0,1,4,5,0,0,0,2,1,0,0,0,0,1,2,0,1,2,2
11,2015-06,4,1,4,1,0,0,0,10,0,0,1,4,8,0,0,2,4,5,0,0,0,2,1,0,0,0,0,1,2,0,1,2,2
12,2015-10,5,1,5,2,0,0,0,10,0,0,1,4,8,0,0,2,4,5,0,0,0,2,1,0,0,0,0,1,2,0,1,2,2
13,2015-12,6,1,6,2,0,0,0,10,0,0,1,5,8,0,0,2,4,5,0,0,0,2,1,0,0,0,0,1,2,0,1,2,2
14,2016-01,6,1,6,3,0,0,0,10,0,0,1,5,8,0,0,2,5,5,0,0,0,2,1,0,0,1,0,1,2,0,1,2,2
15,2016-04,6,1,6,3,0,0,0,11,0,0,1,6,8,0,0,2,6,5,0,0,0,2,1,0,0,1,0,1,2,0,1,2,2
