,date_added,Action,Adult Animation,Adventure,Anime,Black Stories,Cartoons,Classics,Comedy,Cooking & Food,Crime,Documentaries,Drama,Family,Game Shows,Health & Wellness,History,Horror,International,Kids,LGBTQ+,Late Night,Latino,Lifestyle & Culture,Music,Mystery,News,Reality,Romance,Science & Technology,Science Fiction,Sitcom,Sketch Comedy,Sports,Stand Up,Teen,Thriller
0,2012-12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013-08,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013-12,4,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014-01,4,0,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014-02,4,0,5,3,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014-04,5,0,7,6,0,0,0,2,0,0,0,5,0,0,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2014-07,5,0,7,6,0,0,0,2,0,0,0,6,1,0,0,1,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,2014-12,5,0,7,6,0,0,1,3,0,0,0,6,1,0,0,1,1,6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
8,2015-01,5,0,7,6,1,0,2,5,0,0,0,6,2,0,0,1,1,6,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
9,2015-02,5,0,7,6,1,0,3,6,0,0,0,7,2,0,0,1,1,6,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,1,0
10,2015-05,5,0,7,6,1,0,3,6,0,0,0,7,2,0,0,1,1,6,0,0,0,0,1,1,1,0,1,1,0,0,3,0,0,0,1,0
11,2015-06,5,0,7,7,1,0,3,7,0,0,0,7,2,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
12,2015-10,6,0,8,8,1,0,3,7,0,0,0,7,2,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
13,2015-12,7,0,9,9,1,0,3,7,0,0,0,7,2,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
14,2016-01,7,0,9,9,1,0,4,8,0,0,0,7,3,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
15,2016-04,7,0,9,9,1,0,5,9,0,0,0,7,4,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
16,2016-09,8,0,9,9,1,0,5,9,0,1,0,8,4,0,0,1,1,6,0,0,0,0,1,1,1,0,1,2,0,0,3,0,0,0,1,0
17,2016-12,8,0,9,9,1,0,5,9,0,1,0,10,5,0,0,1,1,6,0,0,0,0,1,1,1,0,1,3,0,0,3,0,0,0,1,0
18,2017-03,9,0,10,10,1,0,5,12,0,1,0,11,5,0,0,1,1,8,0,0,0,0,1,1,1,0,1,3,0,0,3,0,0,0,1,0
19,2017-04,10,0,11,11,1,0,5,12,0,1,0,12,5,0,0,2,1,9,0,0,0,0,1,1,1,0,1,3,0,0,3,0,0,0,1,0
20,2017-05,10,0,11,12,1,0,5,12,0,1,0,13,5,0,0,2,1,9,0,0,0,0,1,1,1,1,1,3,0,0,3,0,0,0,1,0
21,2017-06,12,0,13,14,1,0,5,12,0,1,0,13,5,0,0,2,1,9,0,0,0,0,1,1,1,1,1,3,0,0,3,0,0,0,1,0
22,2017-07,13,0,15,18,1,0,5,13,0,3,0,15,5,0,0,2,1,12,0,0,0,0,1,1,1,1,1,3,0,0,3,0,0,0,1,0
23,2017-08,14,0,16,18,1,0,5,13,0,4,0,16,6,0,0,2,1,12,0,0,0,0,1,1,1,1,1,3,0,0,3,0,0,0,1,0
24,2017-09,16,1,18,21,1,0,5,15,1,4,0,17,8,0,0,2,1,14,0,0,0,0,2,1,1,1,1,3,0,0,3,0,0,0,1,0
25,2017-10,16,1,19,21,1,1,5,15,1,4,1,17,8,0,0,2,1,14,1,0,0,0,2,1,1,1,1,3,0,0,3,0,1,0,1,0
26,2017-11,17,1,20,22,1,1,5,15,1,4,1,17,8,0,0,2,1,14,1,0,0,0,2,1,1,1,1,3,0,0,3,0,1,0,1,0
27,2017-12,17,1,20,23,1,1,5,15,1,6,1,19,8,0,0,2,2,15,1,0,0,1,2,1,2,1,1,3,0,0,3,0,1,0,1,0
28,2018-01,20,2,21,25,1,1,5,15,1,7,1,20,8,0,0,2,2,16,1,0,0,1,2,1,2,1,1,3,0,1,3,0,1,0,1,0
29,2018-02,20,2,24,26,1,5,5,18,1,7,1,20,8,0,0,2,2,19,6,1,0,1,2,1,2,1,1,3,0,1,3,1,1,0,1,0
30,2018-03,21,2,25,28,1,5,5,21,1,8,2,21,8,0,0,3,2,19,6,1,0,1,2,1,2,1,1,3,1,1,3,1,1,0,1,0
31,2018-04,24,3,27,32,1,5,5,23,1,8,2,23,8,0,0,3,3,21,6,1,0,2,2,1,2,1,1,3,1,1,3,1,1,0,1,0
