,date_added,Action & Adventure,Anime Features,Children & Family Movies,Classic Movies,Comedies,Cult Movies,Documentaries,Dramas,Faith & Spirituality,Horror Movies,Independent Movies,International Movies,LGBTQ Movies,Movies,Music & Musicals,Romantic Movies,Sci-Fi & Fantasy,Sports Movies,Stand-Up Comedy,Thrillers
0,2008-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2009-05,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1
2,2009-11,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1
3,2010-11,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,1
4,2011-05,0,0,0,0,0,1,0,3,0,2,1,2,0,0,0,0,0,0,0,1
5,2011-09,0,0,1,0,0,1,0,4,1,2,1,2,0,0,0,0,0,0,0,1
6,2011-10,0,0,1,0,0,1,0,15,1,2,1,2,0,0,0,0,0,2,0,2
7,2012-02,0,0,1,0,0,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
8,2012-11,0,0,1,0,1,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
9,2012-12,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,0,2
10,2013-09,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,1,2
11,2013-10,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,2,2
12,2013-11,0,0,2,0,2,1,1,15,1,2,1,2,0,0,0,0,0,2,4,2
13,2013-12,0,0,4,0,3,1,2,15,1,2,1,2,0,0,1,0,0,3,4,2
14,2014-01,0,0,4,0,3,1,4,15,1,2,1,3,0,0,1,0,0,3,4,2
15,2014-02,1,0,4,0,3,1,4,15,1,2,1,3,0,0,1,0,1,3,4,2
16,2014-04,1,0,4,0,3,1,5,15,1,2,1,3,0,0,1,0,1,3,4,2
17,2014-06,1,0,5,0,3,1,5,15,1,2,1,3,0,0,1,0,1,3,4,2
18,2014-07,1,0,5,0,3,1,6,15,1,2,1,3,0,0,1,0,1,4,4,2
19,2014-08,1,0,5,0,3,1,7,15,1,2,1,3,0,0,1,0,1,4,4,2
20,2014-09,1,0,5,0,3,1,8,15,1,2,1,3,0,0,1,0,1,4,4,2
21,2014-10,1,0,6,0,3,1,9,15,1,2,1,3,0,0,1,0,2,4,6,2
22,2014-11,1,0,6,0,3,1,10,15,1,2,1,4,0,0,1,0,2,4,7,2
23,2014-12,1,0,8,0,5,1,10,15,1,2,1,4,0,2,1,0,2,4,8,2
24,2015-01,1,0,8,0,5,1,10,15,1,2,1,4,0,2,1,0,2,4,9,2
25,2015-02,1,0,8,0,5,1,12,15,1,2,1,5,0,2,1,0,2,5,10,2
26,2015-03,1,0,8,0,5,1,14,15,1,2,1,5,0,2,1,0,2,6,11,2
27,2015-04,1,0,8,0,5,1,14,15,1,2,1,5,0,2,1,0,2,6,12,2
28,2015-05,1,0,10,0,6,1,16,15,1,2,1,5,0,2,2,0,2,7,13,2
29,2015-06,1,0,10,0,7,1,17,17,1,2,2,6,0,2,3,0,3,7,14,2
30,2015-07,2,0,11,0,7,1,18,18,1,3,3,7,0,2,3,0,3,7,16,3
31,2015-08,2,0,12,0,8,1,18,18,1,3,3,7,0,2,3,0,3,7,17,3
32,2015-09,2,0,13,0,9,1,20,20,1,3,4,8,0,2,5,1,3,7,17,3
33,2015-10,2,0,14,0,11,1,21,24,1,4,8,10,0,2,5,1,4,7,19,4
34,2015-11,2,0,14,0,12,1,21,25,1,4,8,10,1,2,5,1,4,7,20,4
35,2015-12,3,0,19,0,17,1,23,27,1,4,8,14,1,3,7,1,4,7,21,4
36,2016-01,5,0,23,0,17,1,24,28,1,4,8,17,1,9,7,1,5,7,23,4
37,2016-02,6,0,26,0,20,1,25,31,1,4,9,18,1,9,7,3,6,7,24,5
38,2016-03,7,0,30,0,28,2,28,32,2,5,9,21,1,9,8,4,7,7,25,6
39,2016-04,8,0,30,0,32,2,35,33,2,6,10,24,1,9,9,4,7,9,26,7
40,2016-05,9,0,30,0,34,2,38,35,2,6,11,28,2,10,9,5,7,9,27,7
41,2016-06,11,0,30,0,36,2,43,38,2,6,12,34,2,10,11,5,7,10,29,7
42,2016-07,12,0,30,0,40,2,46,45,2,8,17,43,2,10,11,5,7,12,30,11
43,2016-08,12,0,30,0,40,2,56,49,2,9,19,48,3,11,13,5,7,14,37,12
44,2016-09,12,0,32,0,45,2,65,53,2,9,21,54,3,12,14,6,8,15,46,13
45,2016-10,16,3,35,0,56,2,70,63,2,10,23,71,3,13,17,6,10,17,48,14
46,2016-11,18,3,35,2,58,2,77,71,2,10,26,80,3,14,17,7,10,17,55,15
47,2016-12,21,4,39,2,65,2,91,92,2,12,39,96,3,15,20,8,11,23,60,18
48,2017-01,23,4,43,2,75,2,101,116,2,16,49,126,6,16,22,10,14,24,66,24
49,2017-02,32,4,49,3,87,3,119,139,2,17,62,161,8,16,29,13,15,26,71,29
50,2017-03,38,4,51,15,107,3,151,171,2,20,75,203,8,16,30,23,15,31,76,32
51,2017-04,41,4,55,15,119,4,174,196,2,21,82,235,10,17,37,28,15,33,79,36
52,2017-05,47,6,58,15,133,5,193,219,2,21,90,263,11,18,39,33,18,36,85,40
53,2017-06,54,6,64,16,145,5,210,245,3,24,98,292,13,18,42,36,22,39,90,49
54,2017-07,56,6,70,17,156,5,216,267,3,25,105,312,13,18,44,43,22,41,95,53
55,2017-08,72,6,76,17,174,6,230,289,3,29,117,342,14,19,48,46,25,45,102,60
56,2017-09,88,12,86,17,190,6,248,310,3,34,126,377,15,19,52,50,26,48,108,68
57,2017-10,97,13,104,17,212,6,266,344,4,37,137,424,16,19,59,61,26,54,114,76
58,2017-11,110,13,110,17,222,6,277,362,5,38,145,454,16,19,67,65,30,55,119,79
59,2017-12,118,13,117,17,242,6,297,385,7,47,155,491,19,19,73,71,32,58,123,86
60,2018-01,125,13,126,17,265,6,324,419,10,53,173,539,20,19,80,75,36,60,134,94
61,2018-02,135,13,127,17,271,6,339,446,11,57,179,568,22,20,85,81,41,60,139,102
62,2018-03,155,14,139,17,298,9,351,513,11,64,195,651,22,23,102,93,47,64,146,117
63,2018-04,164,14,150,18,313,9,363,557,13,67,208,685,23,23,107,106,51,67,154,122
64,2018-05,173,15,151,19,333,10,373,577,13,70,216,718,24,29,108,112,53,70,163,127
65,2018-06,180,16,157,19,342,10,382,595,15,73,227,743,25,29,108,114,58,73,168,131
66,2018-07,196,18,163,19,374,12,394,659,19,84,254,807,28,30,113,120,62,76,179,144
67,2018-08,224,19,168,19,425,13,407,715,19,92,267,899,32,30,126,136,66,78,182,152
68,2018-09,236,19,173,19,443,15,417,749,19,104,281,948,32,30,129,146,70,81,183,162
69,2018-10,262,19,182,20,478,17,430,820,23,115,291,1036,33,33,143,159,77,86,189,175
70,2018-11,271,19,194,21,512,17,442,874,24,121,306,1109,37,36,157,167,79,89,195,185
71,2018-12,291,20,202,21,539,18,464,916,27,125,318,1159,39,38,169,179,88,92,212,197
72,2019-01,312,22,214,26,564,21,480,967,31,135,339,1211,41,38,178,186,97,97,216,204
73,2019-02,323,25,224,26,589,21,494,1016,34,142,359,1260,45,40,180,194,101,99,221,212
74,2019-03,339,25,238,26,628,21,506,1077,36,150,383,1314,46,40,186,211,105,110,229,219
75,2019-04,353,25,246,26,671,21,520,1123,38,163,400,1369,46,40,192,229,110,115,235,229
76,2019-05,366,25,255,26,697,21,538,1153,39,170,416,1408,49,42,199,234,114,117,237,235
77,2019-06,378,28,267,27,728,22,554,1196,42,178,433,1467,51,42,209,248,122,119,242,251
78,2019-07,391,28,278,31,745,23,583,1224,42,183,448,1493,52,43,212,253,128,122,247,261
79,2019-08,398,28,285,33,769,24,595,1251,43,189,454,1528,54,43,216,258,135,129,255,274
80,2019-09,410,29,292,34,797,26,608,1279,43,193,466,1569,55,43,222,269,138,129,259,283
81,2019-10,426,29,308,37,833,31,625,1327,44,206,479,1616,55,43,225,284,145,135,266,299
82,2019-11,466,32,335,56,898,35,645,1392,45,214,495,1659,58,45,237,305,155,144,273,313
83,2019-12,493,34,349,65,959,40,652,1480,46,222,519,1769,58,45,246,329,158,148,278,332
84,2020-01,524,36,371,73,1016,46,655,1530,46,246,537,1797,58,45,253,342,178,152,284,351
85,2020-02,531,38,379,74,1038,46,661,1562,48,251,548,1827,58,48,256,356,180,154,287,361
86,2020-03,539,40,394,74,1057,46,675,1602,49,251,562,1861,60,48,263,366,183,162,293,370
87,2020-04,557,42,406,74,1109,48,684,1662,51,256,577,1934,62,50,268,374,187,168,298,382
88,2020-05,565,43,419,74,1150,49,691,1704,52,261,588,1994,64,50,272,394,190,171,302,395
89,2020-06,583,46,432,82,1181,50,703,1766,54,267,604,2063,66,50,275,414,194,174,305,402
90,2020-07,598,46,439,84,1219,50,716,1812,54,268,615,2122,67,50,282,428,196,177,309,414
91,2020-08,611,46,451,85,1242,51,725,1844,56,273,630,2146,70,50,286,435,200,180,312,426
92,2020-09,626,48,469,85,1277,51,740,1891,56,276,644,2211,72,50,297,448,202,183,317,437
