,date_added,Anime Series,British TV Shows,Classic & Cult TV,Crime TV Shows,Docuseries,International TV Shows,Kids' TV,Korean TV Shows,Reality TV,Romantic TV Shows,Science & Nature TV,Spanish-Language TV Shows,Stand-Up Comedy & Talk Shows,TV Action & Adventure,TV Comedies,TV Dramas,TV Horror,TV Mysteries,TV Sci-Fi & Fantasy,TV Shows,TV Thrillers,Teen TV Shows
0,2012-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2013-08,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
2,2013-12,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0
3,2014-01,0,1,0,0,0,5,0,0,0,1,0,0,0,0,2,3,0,1,1,0,0,0
4,2014-02,0,1,0,1,1,5,0,0,0,1,0,0,0,0,2,3,0,1,1,0,0,0
5,2014-04,0,2,0,1,1,11,1,0,0,4,0,0,0,0,4,8,0,1,1,0,0,0
6,2014-07,0,2,0,1,1,11,2,0,0,4,0,0,0,0,4,8,0,1,1,0,0,0
7,2014-12,0,2,0,1,1,11,2,0,0,4,0,0,0,0,4,9,0,2,2,0,0,0
8,2015-01,0,2,0,2,1,13,2,0,0,4,0,0,0,0,4,11,0,2,2,0,0,0
9,2015-02,0,2,0,3,1,14,3,0,0,4,0,1,0,0,4,11,0,2,2,0,0,0
10,2015-05,0,2,0,4,1,15,3,0,0,4,0,1,0,1,4,11,0,2,2,0,0,0
11,2015-06,0,2,0,4,1,16,3,0,1,5,0,1,0,1,4,11,0,2,2,0,0,0
12,2015-10,0,2,0,4,1,17,3,0,1,5,0,1,0,1,4,12,0,2,2,0,0,0
13,2015-12,0,3,0,4,1,18,3,0,1,5,0,1,0,1,4,13,0,2,2,0,0,0
14,2016-01,0,3,0,4,1,19,3,0,1,5,0,1,0,1,4,14,0,2,2,0,0,0
15,2016-04,0,3,0,4,1,19,3,0,1,5,0,1,0,1,5,14,1,2,2,0,1,0
16,2016-09,0,3,0,4,1,20,3,0,1,5,0,1,0,1,5,15,1,3,2,0,1,0
17,2016-12,1,4,0,4,1,21,4,0,1,5,0,1,0,1,5,15,1,3,2,0,1,0
18,2017-03,1,4,0,4,1,23,5,1,1,7,0,1,0,1,6,16,1,3,2,0,1,0
19,2017-04,1,4,0,6,1,25,5,2,1,7,0,2,0,1,6,16,1,3,2,0,1,0
